AIRPORT_SEQ_ID;ID;AIRPORT;DISPLAY_AIRPORT_NAME;AIRPORT_COUNTRY_CODE_ISO;AIRPORT_STATE_NAME;LATITUDE;LONGITUDE;AIRPORT_IS_CLOSED
1407902;14079;PFO;Pafos International;CY;;34.71805556;32.48472222;0
1408003;14080;PFR;Ilebo Airport;CD;;-4.32972222;20.59083333;0
1408102;14081;PGA;Page Municipal;US;Arizona;36.92611111;-111.4483333;0
1408202;14082;PGD;Punta Gorda Airport;US;Florida;26.91888889;-81.99083333;0
1408306;14083;PGF;Perpignan Rivesaltes;FR;;42.74027778;2.87083333;0
1408402;14084;PGH;Pantnagar Airport;IN;;29.03361111;79.47222222;0
1408506;14085;PGI;Chitato Airport;AO;;-7.3575;20.80361111;0
1408603;14086;PGK;Depati Amir;ID;;-2.16111111;106.1386111;0
1408701;14087;PGL;Jackson County;US;Mississippi;30.37638889;-88.49527778;0
1408804;14088;PGM;Port Graham Airport;US;Alaska;59.34861111;-151.8302778;0
1408902;14089;PGO;Stevens Field;US;Colorado;37.28638889;-107.0561111;0
1409101;14091;PGS;Peach Springs Dirt Strip;US;Arizona;35.52833333;-113.2466667;0
1409205;14092;PGV;Pitt Greenville;US;North Carolina;35.63555556;-77.38416667;0
1409303;14093;PHA;Phan Rang Airport;VN;;11.63361111;108.9516667;0
1409401;14094;PHB;Parnaiba Airport;BR;;-2.89166667;-41.73833333;0
1409502;14095;PHC;Port Harcourt Airport;NG;;4.84638889;7.02166667;0
1409602;14096;PHD;Harry Clever Field;US;Ohio;40.47027778;-81.42;0
1409702;14097;PHE;Port Hedland International;AU;;-20.37777778;118.6263889;0
1409803;14098;PHF;Newport News/Williamsburg International;US;Virginia;37.13194444;-76.49305556;0
1409902;14099;PHI;Pinheiro Airport;BR;;-2.47472222;-45.10527778;0
1410005;14100;PHL;Philadelphia International;US;Pennsylvania;39.87194444;-75.24055556;0
1410102;14101;PHN;St. Clair County International;US;Michigan;42.91083333;-82.52888889;0
1410205;14102;PHO;Point Hope Airport;US;Alaska;68.34861111;-166.7991667;0
1410306;14103;PHR;Nanuku Resort;FJ;;-18.25527778;178.0491667;0
1410402;14104;PHS;Phitsanulok Airport;TH;;16.78305556;100.2791667;0
1410502;14105;PHT;Henry County;US;Tennessee;36.33583333;-88.38444444;0
1410605;14106;PHW;Kruger Park Gateway;ZA;;-23.93638889;31.15583333;0
1410702;14107;PHX;Phoenix Sky Harbor International;US;Arizona;33.43416667;-112.0116667;0
1410803;14108;PIA;General Downing - Peoria International;US;Illinois;40.66416667;-89.69333333;0
1410902;14109;PIB;Hattiesburg-Laurel Regional;US;Mississippi;31.46722222;-89.33694444;0
1411001;14110;PIC;Pine Cay British West Indies;TC;;21.88333333;-72.1;0
1411101;14111;PID;Nassau-Paradise Island;BS;;25.08333333;-77.3;0
1411206;14112;PIE;St Pete Clearwater International;US;Florida;27.90861111;-82.68638889;0
1411302;14113;PIH;Pocatello Regional;US;Idaho;42.90972222;-112.5958333;0
1411401;14114;PII;Phillips Field;US;Alaska;64.85;-147.7866667;0
1411506;14115;PIK;Prestwick;GB;;55.50333333;-4.57583333;0
1411601;14116;PIM;Harris County;US;Georgia;32.84055556;-84.8825;0
1411702;14117;PIN;Parintins Airport;BR;;-2.67305556;-56.77722222;0
1411805;14118;PIO;Pisco International;PE;;-13.74472222;-76.22027778;0
1411902;14119;PIP;Pilot Point Airport;US;Alaska;57.58027778;-157.5719444;0
1412002;14120;PIR;Pierre Regional;US;South Dakota;44.38277778;-100.2858333;0
1412105;14121;PIS;Poitiers Biard;FR;;46.58861111;0.30805556;0
1412202;14122;PIT;Pittsburgh International;US;Pennsylvania;40.49138889;-80.23277778;0
1412302;14123;PIU;Capitan FAP Guillermo Concha Iberico;PE;;-5.20583333;-80.61638889;0
1412401;14124;PIX;Pico;PT;;38.55444444;-28.44138889;0
1412502;14125;PIZ;Point Lay LRRS;US;Alaska;69.73277778;-163.0052778;0
1412602;14126;PJB;Payson Airport;US;Arizona;34.25694444;-111.3391667;0
1412702;14127;PJG;Panjgur Airport;PK;;26.95444444;64.1325;0
1412802;14128;PJM;Puerto Jimenez Airport;CR;;8.53555556;-83.30111111;0
1412901;14129;PJS;Port San Juan Airport;US;Alaska;60.05;-148.0666667;0
1413002;14130;PKA;Napaskiak Airport;US;Alaska;60.70305556;-161.7783333;0
1413106;14131;PKB;Mid-Ohio Valley Regional;US;West Virginia;39.345;-81.43916667;0
1413206;14132;PKC;Yelizovo;RU;;53.16944444;158.4505556;0
1413305;14133;PKD;Park Rapids Municipal-Konshok Field;US;Minnesota;46.90111111;-95.07305556;0
1413402;14134;PKE;Parkes Airport;AU;;-33.13138889;148.2391667;0
1413505;14135;PKH;Porto Heli;GR;;37.29861111;23.14944444;0
1413603;14136;PKK;Pakhokku;MM;;21.40527778;95.11138889;0
1413802;14138;PKR;Pokhara Airport;NP;;28.20111111;83.98166667;0
1413902;14139;PKU;Simpang Tiga;ID;;0.46416667;101.4386111;0
1414002;14140;PKW;Selebi-Phikwe Airport;BW;;-22.05833333;27.82888889;0
1414106;14141;PKZ;Pakse International;LA;;15.13472222;105.7797222;0
1414201;14142;PLA;Planadas Airport;CO;;3.3;-75.7;0
1414301;14143;PLB;Clinton County;US;New York;44.68833333;-73.52111111;1
1414402;14144;PLC;Planeta Rica Airport;CO;;8.39583333;-75.57638889;1
1414502;14145;PLH;Plymouth Airport;GB;;50.42277778;-4.10583333;0
1414704;14147;PLK;M Graham Clark Downtown;US;Missouri;36.62583333;-93.22888889;0
1414803;14148;PLL;Ponta Pelada Airport;BR;;-3.14583333;-59.98611111;0
1414902;14149;PLM;Sultan Mahmud Badaruddin II;ID;;-2.8975;104.6977778;0
1415002;14150;PLN;Pellston Regional Airport of Emmet County;US;Michigan;45.57083333;-84.79666667;0
1415102;14151;PLO;Port Lincoln Airport;AU;;-34.60527778;135.8802778;0
1415201;14152;PLQ;Palanga International;LT;;55.97333333;21.09388889;0
1415307;14153;PLS;Providenciales International;TC;;21.77388889;-72.26861111;0
1415406;14154;PLT;Plato Airport;CO;;9.80111111;-74.78638889;0
1415502;14155;PLU;Pampulha Carlos Drummond de Andrade;BR;;-19.85083333;-43.95;0
1415601;14156;PLW;Palu Celebes-Mutiara Indon.;ID;;-0.91666667;119.9;0
1415704;14157;PLY;Plymouth Municipal;US;Indiana;41.365;-86.30027778;0
1415803;14158;PLZ;Port Elizabeth International;ZA;;-33.985;25.61722222;0
1415905;14159;PMA;Pemba;TZ;;-5.2575;39.81138889;0
1416004;14160;PMB;Pembina Municipal;US;North Dakota;48.9425;-97.24055556;0
1416102;14161;PMC;El Tepual International;CL;;-41.43888889;-73.09388889;0
1416208;14162;PMD;Palmdale USAF Plant 42;US;California;34.62944444;-118.0844444;0
1416306;14163;PMF;Parma Airport;IT;;44.82666667;10.29722222;0
1416403;14164;PMG;Ponta Pora International;BR;;-22.54972222;-55.7025;0
1416502;14165;PMH;Greater Portsmouth Regional;US;Ohio;38.84055556;-82.84722222;0
1416605;14166;PMI;Palma de Mallorca;ES;;39.55166667;2.73666667;0
1416702;14167;PML;Port Moller Airport;US;Alaska;56.00611111;-160.5608333;0
1416805;14168;PMO;Palermo Airport;IT;;38.18194444;13.09944444;0
1416905;14169;PMP;Pimaga Airport;PG;;-6.49861111;143.5105556;0
1417002;14170;PMQ;Perito Moreno Airport;AR;;-46.53777778;-70.97861111;0
1417102;14171;PMR;Palmerston North;NZ;;-40.31972222;175.6144444;0
1417202;14172;PMS;Palmyra Airport;SY;;34.55722222;38.31666667;0
1417301;14173;PMU;Paimiut Airport;US;Alaska;61.96666667;-160.2333333;0
1417406;14174;PMV;General Santiago Marino International;VE;;10.91333333;-63.9675;0
1417501;14175;PMW;Palmas Airport;BR;;-10.20472222;-48.34361111;0
1417601;14176;PMY;Puerto Madryn;AR;;-42.79444444;-65.01972222;0
1417705;14177;PMZ;Palmar Sur;CR;;8.95083333;-83.46861111;0
1417802;14178;PNA;Pamplona Airport;ES;;42.77;-1.64638889;0
1417905;14179;PNB;Porto Nacional Airport;BR;;-10.71833333;-48.39916667;0
1418002;14180;PNC;Ponca City Regional;US;Oklahoma;36.73194444;-97.09972222;0
1418103;14181;PND;Punta Gorda Airport;BZ;;16.10222222;-88.80833333;0
1418203;14182;PNE;Northeast Philadelphia;US;Pennsylvania;40.08194444;-75.01055556;0
1418301;14183;PNF;Peterson's Point Airport;US;Alaska;58.68333333;-156.8333333;0
1418402;14184;PNG;Paranagua Airport;BR;;-25.54;-48.53111111;0
1418503;14185;PNH;Phnom Penh International;KH;;11.54666667;104.8441667;0
1418606;14186;PNI;Pohnpei International;FM;;6.985;158.2097222;0
1418702;14187;PNK;Supadio;ID;;-0.15083333;109.4038889;0
1418802;14188;PNL;Pantelleria Airport;IT;;36.81638889;11.96888889;0
1418902;14189;PNO;Pinotepa Nacional;MX;;16.35083333;-98.06277778;0
1419003;14190;PNP;Girua;PG;;-8.80444444;148.3088889;0
1419103;14191;PNQ;Pune Airport;IN;;18.58222222;73.91972222;0
1419205;14192;PNR;Antonio Agostinho Neto;CG;;-4.81611111;11.88666667;0
1419306;14193;PNS;Pensacola International;US;Florida;30.47333333;-87.18666667;0
1419401;14194;PNX;Sherman-Denison Airport;US;Texas;33.7;-96.66666667;0
1419501;14195;PNZ;Petrolina Airport;BR;;-9.39333333;-40.49055556;0
1419602;14196;POA;Salgado Filho;BR;;-29.99472222;-51.17111111;0
1419706;14197;POB;Pope AAF;US;North Carolina;35.17083333;-79.01444444;0
1419802;14198;POC;Brackett Field;US;California;34.09166667;-117.7816667;0
1419901;14199;POD;Port Frederick Airport;US;Alaska;58.11666667;-135.5;1
1420002;14200;POE;Polk AAF;US;Louisiana;31.04472222;-93.19166667;0
1420101;14201;POF;Hayes Field;US;Missouri;36.71111111;-90.31388889;0
1420205;14202;POG;Port Gentil Airport;GA;;-0.71472222;8.75305556;0
1420302;14203;POH;Pocahontas Municipal;US;Iowa;42.74277778;-94.64722222;0
1420402;14204;POI;Capitan Nicolas Rojas;BO;;-19.54333333;-65.72388889;0
1420506;14205;POL;Pemba Airport;MZ;;-12.99333333;40.52472222;0
1420605;14206;POM;Port Moresby International;PG;;-9.44055556;147.2183333;0
1420701;14207;POP;Gregorio Luperon International;DO;;19.75777778;-70.57;0
1420801;14208;POQ;Polk Inlet Airport;US;Alaska;55.2;-132.2333333;0
1420902;14209;POR;Pori Airport;FI;;61.46166667;21.8;0
1421002;14210;POS;Piarco;TT;;10.59527778;-61.33722222;0
1421105;14211;POT;Ken Jones;JM;;18.19888889;-76.53472222;0
1421205;14212;POU;Hudson Valley Regional;US;New York;41.62666667;-73.88416667;0
1421305;14213;POW;Portoroz Airport;SI;;45.4725;13.61555556;0
1421404;14214;POX;Pontoise Cormeilles en Vexin;FR;;49.09666667;2.04083333;0
1421502;14215;POY;Powell Municipal;US;Wyoming;44.86722222;-108.7933333;0
1421602;14216;POZ;Lawica;PL;;52.42166667;16.82361111;0
1421701;14217;PPB;A. de Barros;BR;;-22.1;-51.45;0
1421802;14218;PPC;Prospect Creek Airport;US;Alaska;66.81416667;-150.6436111;0
1421902;14219;PPD;Palmas del Mar Airstrip;US;Puerto Rico;18.15;-65.83333333;0
1422001;14220;PPE;Puerto Penasco Airport;MX;;31.35194444;-113.5258333;0
1422102;14221;PPF;Tri City;US;Kansas;37.33083333;-95.50611111;0
1422207;14222;PPG;Pago Pago International;US;U.S. Pacific Trust Territories and Possessions;-14.33166667;-170.7113889;0
1422305;14223;PPM;Pompano Beach Airpark;US;Florida;26.2475;-80.11111111;0
1422401;14224;PPN;Machangara;CO;;2.45;-76.60888889;0
1422501;14225;PPO;Powell Point Airport;BS;;24.83333333;-76.33333333;0
1422602;14226;PPP;Proserpine Whitsunday Coast;AU;;-20.495;148.5522222;0
1422704;14227;PPS;Puerto Princesa Airport;PH;;9.74222222;118.7586111;0
1422802;14228;PPT;Tahiti Faa'a;PF;;-17.55361111;-149.6072222;0
1422901;14229;PPV;Port Protection Airport;US;Alaska;56.32916667;-133.6083333;0
1423002;14230;PPZ;Puerto Paez Airport;VE;;6.22055556;-67.44916667;0
1423103;14231;PQI;Presque Isle International;US;Maine;46.68888889;-68.04472222;0
1423204;14232;PQM;Palenque International;MX;;17.53305556;-92.01555556;0
1423303;14233;PQQ;Port Macquarie Airport;AU;;-31.43583333;152.8633333;0
1423403;14234;PQS;Pilot Station Airport;US;Alaska;61.96138889;-162.9425;0
1423502;14235;PRA;General Urquiza;AR;;-31.79472222;-60.48027778;0
